complaint_text,category,priority,location,date
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Indiranagar.",Leakage,Low,Indiranagar,2026-02-25
pype brst at HSR Layout.,Leakage,Medium,HSR Layout,2026-02-20
Sewage mixed with drinking water.,Contamination,High,Whitefield,2026-01-19
Water supply illa 1 week inda.,Supply,High,Yelahanka,2026-01-18
Please clear the blocked drainage near Electronic City.,Drainage,Medium,Electronic City,2025-12-17
When will water come today? No supply.,Supply,Medium,Jayanagar,2026-02-05
neeru sari yagi supply agthilla.,Supply,High,Marathahalli,2026-02-25
"Pipe burst in Rajajinagar, water is everywhere.",Leakage,High,Rajajinagar,2026-02-25
water pipe odedide Whitefield nalli.,Leakage,High,Whitefield,2026-02-06
We have been waiting for water since 3 days.,Supply,High,Marathahalli,2026-02-16
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Electronic City,2026-02-05
vasane bartide neerinda Marathahalli.,Contamination,Low,Marathahalli,2026-02-06
"No leakage, just a few drops coming out in Whitefield.",Leakage,Low,Whitefield,2026-02-08
Water supply is very erratic in our area.,Supply,Medium,Hebbal,2025-12-31
"Minor leak, only drops coming out from the pipe at HSR Layout.",Leakage,Low,HSR Layout,2026-01-05
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Whitefield,2026-01-10
Marathahalli ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Marathahalli,2026-02-22
"Water timing is not followed, please fix.",Supply,Low,Jayanagar,2026-03-01
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Jayanagar,2025-12-09
"Gutter is blocked, very bad smell.",Drainage,Low,Electronic City,2026-02-06
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Jayanagar,2026-02-22
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Low,Electronic City,2025-12-22
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Jayanagar,2026-02-21
sewage neeru rastege bartide.,Drainage,High,Jayanagar,2026-03-04
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Indiranagar,2026-03-04
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Electronic City,2026-02-14
"swalpa leak agtide, just drops Rajajinagar hatra.",Leakage,Low,Rajajinagar,2026-01-09
No water supply since last night.,Supply,High,Yelahanka,2026-02-18
Low water pressure today.,Supply,Low,Whitefield,2026-01-12
neeru leak agthide Rajajinagar hatra.,Leakage,Medium,Rajajinagar,2026-02-10
When will water come today? No supply.,Supply,Medium,Rajajinagar,2025-12-16
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Indiranagar,2026-02-06
Broken pipe causing flooding near Indiranagar.,Leakage,Medium,Indiranagar,2026-02-27
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Jayanagar,2026-02-03
drinage blok in frnt of house.,Drainage,Medium,KR Puram,2026-03-05
Water is muddy and unhygienic.,Contamination,Medium,Indiranagar,2026-02-09
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Yelahanka,2026-01-08
Completely dry taps in Whitefield since 3 days.,Supply,High,Whitefield,2026-02-18
full kachara tumbide drain nalli.,Drainage,Medium,Yelahanka,2026-02-26
vasane bartide neerinda Marathahalli.,Contamination,Low,Marathahalli,2026-01-19
charandi block agide Electronic City nalli.,Drainage,Medium,Electronic City,2026-02-08
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Yelahanka,2026-02-25
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Hebbal,2026-01-31
yaavaga neeru bartade? 3 days inda kawtidivi.,Supply,Medium,Indiranagar,2026-02-21
We have been waiting for water since morning.,Supply,Medium,HSR Layout,2026-01-02
The public drain is choked and overflowing heavily.,Drainage,High,Electronic City,2025-12-30
Marathahalli ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Marathahalli,2026-02-24
Water supply is very erratic in our area.,Supply,Medium,Marathahalli,2026-02-04
bad smll wter cming frm tap.,Contamination,Low,Rajajinagar,2026-02-22
vasane bartide neerinda Electronic City.,Contamination,Low,Electronic City,2026-01-23
We have been waiting for water since today.,Supply,Medium,Marathahalli,2026-01-22
Electronic City ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Electronic City,2026-02-04
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Hebbal,2026-03-02
neeru leak agthide Marathahalli hatra.,Leakage,Medium,Marathahalli,2026-01-02
neeru full black agide Jayanagar nalli.,Contamination,High,Jayanagar,2025-12-17
No water supply since last night.,Supply,High,HSR Layout,2026-01-17
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Whitefield,2026-02-12
Water dripping from the street valve near Electronic City.,Leakage,Medium,Electronic City,2026-03-04
Kaveri neeru bandilla.,Supply,High,HSR Layout,2026-01-19
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,HSR Layout,2026-01-30
"Rajajinagar ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Rajajinagar,2025-12-27
tumba neeru waste agthide Hebbal nalli due to leak.,Leakage,Medium,Hebbal,2025-12-23
Water is muddy and unhygienic.,Contamination,Medium,Yelahanka,2025-12-10
drain is flul of grabage.,Drainage,Medium,Jayanagar,2026-03-03
tumba neeru waste agthide Whitefield nalli due to leak.,Leakage,Medium,Whitefield,2026-02-15
drain is flul of grabage.,Drainage,High,Whitefield,2026-01-01
Manhole is open and overflowing.,Drainage,High,Indiranagar,2026-01-21
neeru leak agthide Marathahalli hatra.,Leakage,Low,Marathahalli,2026-01-02
Sewage mixed with drinking water.,Contamination,High,Marathahalli,2026-02-03
No water supply since 3 days.,Supply,High,HSR Layout,2025-12-21
tumba neeru waste agthide Rajajinagar nalli due to leak.,Leakage,Medium,Rajajinagar,2025-12-09
water colour is black.,Contamination,High,Hebbal,2026-02-11
"Marathahalli ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,Low,Marathahalli,2025-12-24
leakage problem since 2 days in HSR Layout.,Leakage,High,HSR Layout,2026-01-27
Water is leaking from the main pipe near Jayanagar.,Leakage,Medium,Jayanagar,2026-02-18
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Whitefield,2026-01-10
Water supply illa morning inda.,Supply,High,Whitefield,2026-01-26
Completely dry taps in Jayanagar since 2 days.,Supply,High,Jayanagar,2026-02-12
"HSR Layout ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,HSR Layout,2026-01-07
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Yelahanka,2025-12-19
neeralli kachara barthide.,Contamination,Medium,Whitefield,2026-01-27
Kaveri neeru bandilla.,Supply,High,Whitefield,2026-02-09
neeru barthilla nam manege.,Supply,High,Hebbal,2026-02-11
Taps are leaking continuously.,Leakage,Medium,Electronic City,2026-02-02
watr suply is vry bad in Yelahanka.,Supply,Medium,Yelahanka,2026-02-27
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Rajajinagar,2026-01-17
We have been waiting for water since last night.,Supply,Medium,KR Puram,2026-01-25
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Hebbal,2025-12-26
The public drain is choked and overflowing heavily.,Drainage,High,Electronic City,2025-12-13
manhole open ide mattu overflow agthide.,Drainage,Medium,Hebbal,2026-03-04
Low water pressure today.,Supply,Low,Whitefield,2026-01-05
water colour is black.,Contamination,High,HSR Layout,2025-12-12
Water dripping from the street valve near Whitefield.,Leakage,Medium,Whitefield,2026-01-05
Foul odor coming from the supplied water.,Contamination,Medium,Yelahanka,2025-12-28
Taps are leaking continuously.,Leakage,Medium,Marathahalli,2025-12-29
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Indiranagar,2026-01-12
Water dripping from the street valve near KR Puram.,Leakage,Medium,KR Puram,2026-02-25
Foul odor coming from the supplied water.,Contamination,Medium,Electronic City,2026-01-13
"kudiyoke agalla, neeru halagide.",Contamination,High,KR Puram,2026-02-02
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Whitefield,2026-03-05
"No leakage, just a few drops coming out in KR Puram.",Leakage,Low,KR Puram,2026-02-03
There is a severe water leak at the intersection in Indiranagar.,Leakage,Medium,Indiranagar,2026-02-13
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Electronic City,2026-01-02
watr suply is vry bad in Electronic City.,Supply,Medium,Electronic City,2026-02-28
Taps are leaking continuously.,Leakage,Medium,Indiranagar,2026-02-05
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Hebbal,2026-01-01
Pipe is cracked and leaking water at Yelahanka.,Leakage,High,Yelahanka,2026-01-08
The water is brown and has particles in it.,Contamination,Medium,Electronic City,2026-01-23
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Marathahalli,2026-01-30
We are not getting water in HSR Layout.,Supply,Medium,HSR Layout,2025-12-08
Water smells bad and is yellowish.,Contamination,High,Rajajinagar,2026-03-05
We are not getting water in Whitefield.,Supply,Medium,Whitefield,2026-03-02
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Electronic City,2026-03-03
Marathahalli ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Marathahalli,2026-01-05
"drnking watr is nt gud, it is plluted.",Contamination,Medium,HSR Layout,2026-01-20
Broken pipe causing flooding near Jayanagar.,Leakage,Medium,Jayanagar,2026-02-16
Completely dry taps in Rajajinagar since 2 days.,Supply,High,Rajajinagar,2026-02-23
Huge water leak at Indiranagar.,Leakage,Medium,Indiranagar,2026-03-03
"Minor leak, only drops coming out from the pipe at Yelahanka.",Leakage,Low,Yelahanka,2025-12-19
"kudiyoke agalla, neeru halagide.",Contamination,High,KR Puram,2026-02-10
Drainage is blocked and overflowing in Whitefield.,Drainage,High,Whitefield,2025-12-12
Please clear the blocked drainage near Indiranagar.,Drainage,Medium,Indiranagar,2026-02-06
Water is not safe for drinking today.,Contamination,Medium,Rajajinagar,2026-03-04
sewage mix agide neeru jote.,Contamination,Medium,Jayanagar,2026-01-01
The public drain is choked and overflowing heavily.,Drainage,High,Whitefield,2026-02-09
No supply at all in Whitefield.,Supply,Medium,Whitefield,2026-03-03
"Indiranagar ನಲ್ಲಿ ಪೈಪ್ ಒಡೆದಿದೆ, ನೀರು ಪೋಲಾಗುತ್ತಿದೆ.",Leakage,High,Indiranagar,2025-12-12
Indiranagar ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Indiranagar,2026-02-09
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Whitefield,2025-12-20
"drnking watr is nt gud, it is plluted.",Contamination,Medium,HSR Layout,2026-01-30
yesterday ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,KR Puram,2026-02-16
Broken pipe causing flooding near Hebbal.,Leakage,Medium,Hebbal,2026-02-27
The public drain is choked and overflowing heavily.,Drainage,High,Rajajinagar,2026-01-26
vasane bartide neerinda KR Puram.,Contamination,Low,KR Puram,2025-12-28
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Jayanagar,2025-12-14
Foul odor coming from the supplied water.,Contamination,Medium,Indiranagar,2026-03-05
"Minor leak, only drops coming out from the pipe at Marathahalli.",Leakage,Low,Marathahalli,2025-12-09
drinage blok in frnt of house.,Drainage,Medium,KR Puram,2026-02-08
no suply of watr since 3 days.,Supply,High,KR Puram,2025-12-21
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Hebbal,2026-03-01
neeru sari yagi supply agthilla.,Supply,High,Rajajinagar,2026-01-10
"Water timing is not followed, please fix.",Supply,Low,Indiranagar,2026-02-20
leakage problem since 2 days in Hebbal.,Leakage,High,Hebbal,2026-02-08
pype brst at KR Puram.,Leakage,Medium,KR Puram,2026-02-28
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Whitefield,2026-02-21
Water is muddy and unhygienic.,Contamination,Medium,Jayanagar,2026-02-24
yaavaga neeru bartade? today inda kawtidivi.,Supply,Medium,Marathahalli,2025-12-25
Pipe is cracked and leaking water at Whitefield.,Leakage,Medium,Whitefield,2026-02-27
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Indiranagar,2026-02-17
pressure tumba low ide Rajajinagar nalli.,Supply,Low,Rajajinagar,2025-12-24
today ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Rajajinagar,2026-02-27
watr suply is vry bad in KR Puram.,Supply,Medium,KR Puram,2026-01-21
pressure tumba low ide Hebbal nalli.,Supply,Low,Hebbal,2026-01-18
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Rajajinagar,2026-01-04
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Whitefield,2026-02-08
drinage blok in frnt of house.,Drainage,Medium,Whitefield,2026-01-20
Not enough water pressure to reach the overhead tank.,Supply,Low,Whitefield,2025-12-08
Water supply illa 3 days inda.,Supply,High,HSR Layout,2026-02-09
yaavaga neeru bartade? last night inda kawtidivi.,Supply,Medium,Hebbal,2025-12-27
getting dirty water for drinking.,Contamination,Medium,Whitefield,2026-01-06
Foul odor coming from the supplied water.,Contamination,Medium,Rajajinagar,2025-12-24
Foul odor coming from the supplied water.,Contamination,Medium,Electronic City,2026-02-20
The water is brown and has particles in it.,Contamination,Medium,Jayanagar,2026-02-06
watr suply is vry bad in Indiranagar.,Supply,Medium,Indiranagar,2026-01-16
KR Puram ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,KR Puram,2026-02-26
water stagnation due to blocked drainage.,Drainage,Medium,Yelahanka,2026-01-28
leakage problem since 2 days in Rajajinagar.,Leakage,High,Rajajinagar,2026-01-31
Water is not safe for drinking today.,Contamination,Medium,Indiranagar,2026-02-14
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Rajajinagar,2025-12-30
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Marathahalli,2026-01-28
drinage blok in frnt of house.,Drainage,Medium,Marathahalli,2025-12-15
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Rajajinagar,2026-01-12
Drinking water is contaminated in Yelahanka.,Contamination,Medium,Yelahanka,2026-02-27
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Electronic City,2026-01-05
Sewage mixed with drinking water.,Contamination,High,KR Puram,2026-02-08
Not enough water pressure to reach the overhead tank.,Supply,Low,Marathahalli,2026-01-01
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Indiranagar,2026-01-26
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Indiranagar,2026-02-02
Kaveri neeru bandilla.,Supply,High,Hebbal,2026-01-13
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,Marathahalli,2025-12-18
Manhole is open and overflowing.,Drainage,High,Jayanagar,2025-12-12
neeru leak agthide Marathahalli hatra.,Leakage,Medium,Marathahalli,2025-12-29
Huge water leak at Hebbal.,Leakage,Medium,Hebbal,2026-01-26
no suply of watr since today.,Supply,Medium,HSR Layout,2026-02-18
Yelahanka ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Yelahanka,2026-02-08
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Rajajinagar,2026-02-26
neeru full black agide Jayanagar nalli.,Contamination,High,Jayanagar,2026-03-02
neeru barthilla nam manege.,Supply,High,Hebbal,2025-12-08
pype brst at Jayanagar.,Leakage,Medium,Jayanagar,2026-01-19
Kaveri neeru bandilla.,Supply,High,Marathahalli,2025-12-11
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Rajajinagar,2025-12-28
no suply of watr since 3 days.,Supply,High,HSR Layout,2026-01-27
We have been waiting for water since 2 days.,Supply,High,Rajajinagar,2026-02-20
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Yelahanka.,Leakage,Medium,Yelahanka,2026-02-02
No water supply since today.,Supply,High,KR Puram,2026-01-14
pressure tumba low ide Rajajinagar nalli.,Supply,Low,Rajajinagar,2026-02-09
yesterday ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Whitefield,2026-01-16
There is a severe water leak at the intersection in KR Puram.,Leakage,High,KR Puram,2025-12-26
Mosquitoes increasing because of drainage leak.,Drainage,Medium,HSR Layout,2025-12-26
Sewage water entering the road.,Drainage,Medium,Yelahanka,2025-12-21
full kachara tumbide drain nalli.,Drainage,Medium,Rajajinagar,2025-12-31
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Marathahalli.",Leakage,Low,Marathahalli,2026-01-26
The public drain is choked and overflowing heavily.,Drainage,High,KR Puram,2026-02-08
neeralli kachara barthide.,Contamination,Medium,KR Puram,2026-01-17
